SearchBayesianSkopt: Resuming 'PureSVDRecommender' Failed, no such file exists.
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'num_factors': 50} - results:
CUTOFF: 5 - PRECISION: 0.3643690, PRECISION_RECALL_MIN_DEN: 0.3683987, RECALL: 0.1259591, MAP: 0.2778367, MAP_MIN_DEN: 0.2802837, MRR: 0.5884058, NDCG: 0.2860749, F1: 0.1872036, HIT_RATE: 0.8006363, ARHR_ALL_HITS: 0.9057618, NOVELTY: 0.0257922, AVERAGE_POPULARITY: 0.4446351, DIVERSITY_MEAN_INTER_LIST: 0.9694353, DIVERSITY_HERFINDAHL: 0.9936815, COVERAGE_ITEM: 0.2158145, COVERAGE_ITEM_HIT: 0.1825208, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.8006363, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0938036, SHANNON_ENTROPY: 7.7129092, 
CUTOFF: 10 - PRECISION: 0.3061506, PRECISION_RECALL_MIN_DEN: 0.3509969, RECALL: 0.2048858, MAP: 0.2036598, MAP_MIN_DEN: 0.2271027, MRR: 0.6023528, NDCG: 0.3004098, F1: 0.2454851, HIT_RATE: 0.9024390, ARHR_ALL_HITS: 1.0693110, NOVELTY: 0.0522754, AVERAGE_POPULARITY: 0.4137959, DIVERSITY_MEAN_INTER_LIST: 0.9511432, DIVERSITY_HERFINDAHL: 0.9950135, COVERAGE_ITEM: 0.2699168, COVERAGE_ITEM_HIT: 0.2306778, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9024390, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.1152517, SHANNON_ENTROPY: 8.0162117, 
CUTOFF: 50 - PRECISION: 0.1631813, PRECISION_RECALL_MIN_DEN: 0.4852579, RECALL: 0.4754513, MAP: 0.0770338, MAP_MIN_DEN: 0.1942392, MRR: 0.6073978, NDCG: 0.3798502, F1: 0.2429715, HIT_RATE: 0.9893955, ARHR_ALL_HITS: 1.2938120, NOVELTY: 0.2737510, AVERAGE_POPULARITY: 0.3265034, DIVERSITY_MEAN_INTER_LIST: 0.8677621, DIVERSITY_HERFINDAHL: 0.9973368, COVERAGE_ITEM: 0.4625446, COVERAGE_ITEM_HIT: 0.3882283, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9893955, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.2064727, SHANNON_ENTROPY: 8.8454765, 
CUTOFF: 1681 - PRECISION: 0.0140239, PRECISION_RECALL_MIN_DEN: 1.0000000, RECALL: 1.0000000, MAP: 0.0038295, MAP_MIN_DEN: 0.2354667, MRR: 0.6075077, NDCG: 0.5193700, F1: 0.0276599, HIT_RATE: 1.0000000, ARHR_ALL_HITS: 1.3778999, NOVELTY: 11.4002989, AVERAGE_POPULARITY: 0.0899596, DIVERSITY_MEAN_INTER_LIST: 0.0922620, DIVERSITY_HERFINDAHL: 0.9994025, COVERAGE_ITEM: 1.0000000, COVERAGE_ITEM_HIT: 0.8335315, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 1.0000000, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.9670957, SHANNON_ENTROPY: 10.7121394, 

SearchBayesianSkopt: New best config found. Config 5: {'num_factors': 18} - results: PRECISION: 0.0223754, PRECISION_RECALL_MIN_DEN: 0.2237540, RECALL: 0.2237540, MAP: 0.0088715, MAP_MIN_DEN: 0.0887147, MRR: 0.0887147, NDCG: 0.1201466, F1: 0.0406825, HIT_RATE: 0.2237540, ARHR_ALL_HITS: 0.0887147, NOVELTY: 0.0508297, AVERAGE_POPULARITY: 0.4823007, DIVERSITY_MEAN_INTER_LIST: 0.9234309, DIVERSITY_HERFINDAHL: 0.9922452, COVERAGE_ITEM: 0.2051130, COVERAGE_ITEM_HIT: 0.0535077, ITEMS_IN_GT: 0.2865636, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.2237540, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0775858, SHANNON_ENTROPY: 7.4473679, 
SearchBayesianSkopt: Best config evaluated with evaluator_test. Config: {'num_factors': 18} - results:
CUTOFF: 5 - PRECISION: 0.4156946, PRECISION_RECALL_MIN_DEN: 0.4197773, RECALL: 0.1395215, MAP: 0.3288759, MAP_MIN_DEN: 0.3314113, MRR: 0.6482149, NDCG: 0.3368569, F1: 0.2089217, HIT_RATE: 0.8494168, ARHR_ALL_HITS: 1.0336868, NOVELTY: 0.0249684, AVERAGE_POPULARITY: 0.5300849, DIVERSITY_MEAN_INTER_LIST: 0.9448042, DIVERSITY_HERFINDAHL: 0.9887604, COVERAGE_ITEM: 0.1516052, COVERAGE_ITEM_HIT: 0.1337693, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.8494168, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0572547, SHANNON_ENTROPY: 6.9948380, 
CUTOFF: 10 - PRECISION: 0.3458112, PRECISION_RECALL_MIN_DEN: 0.3918316, RECALL: 0.2203462, MAP: 0.2459029, MAP_MIN_DEN: 0.2702313, MRR: 0.6574395, NDCG: 0.3441813, F1: 0.2691767, HIT_RATE: 0.9183457, ARHR_ALL_HITS: 1.2138981, NOVELTY: 0.0508297, AVERAGE_POPULARITY: 0.4823007, DIVERSITY_MEAN_INTER_LIST: 0.9234309, DIVERSITY_HERFINDAHL: 0.9922452, COVERAGE_ITEM: 0.2051130, COVERAGE_ITEM_HIT: 0.1795482, ITEMS_IN_GT: 0.8335315, COVERAGE_USER: 1.0000000, COVERAGE_USER_HIT: 0.9183457, USERS_IN_GT: 1.0000000, DIVERSITY_GINI: 0.0775858, SHANNON_ENTROPY: 7.4473679, 
